거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.4.4,KBSTAR 미국30년국채엔화노출(합성 H),20,0,"180,850",7,28,"613,154",,
Smart+거래소주식매도,,"9,042",0,"180,843",0,0,0,스마트폰,
2024.4.5,ACE 미국배당다우존스,20,0,"232,700",9,34,"380,445",,
Smart+거래소주식매수,,"11,635",0,"232,709",0,0,0,스마트폰,
2024.4.5,KBSTAR 미국30년국채엔화노출(합성 H),10,0,"89,300",3,38,"291,142",,
Smart+거래소주식매수,,"8,930",0,"89,303",0,0,0,스마트폰,
2024.4.8,KBSTAR 미국30년국채엔화노출(합성 H),10,0,"88,900",3,48,"202,239",,
Smart+거래소주식매수,,"8,890",0,"88,903",0,0,0,스마트폰,
2024.4.8,SOL 미국30년국채커버드콜(합성),20,0,"198,050",8,20,"4,181",,
Smart+거래소주식매수,,"9,902",0,"198,058",0,0,0,스마트폰,
2024.4.8,KODEX KOFR금리액티브(합성),10,0,"1,063,350",44,34,"1,067,487",,
Smart+거래소주식매도,,"106,335",0,"1,063,306",0,0,0,스마트폰,
2024.4.9,TIGER 미국달러단기채권액티브,10,0,"119,150",5,70,"948,332",,
Smart+거래소주식매수,,"11,915",0,"119,155",0,0,0,스마트폰,
2024.4.9,ACE KRX금현물,10,0,"143,100",6,32,"805,226",,
Smart+거래소주식매수,,"14,310",0,"143,106",0,0,0,스마트폰,
2024.4.9,KBSTAR 미국30년국채엔화노출(합성 H),40,0,"360,800",15,8,"1,166,011",,
Smart+거래소주식매도,,"9,020",0,"360,785",0,0,0,스마트폰,
2024.4.9,SOL 미국30년국채커버드콜(합성),20,0,"199,800",8,0,"1,365,803",,
Smart+거래소주식매도,,"9,990",0,"199,792",0,0,0,스마트폰,
2024.4.11,ACE KRX금현물,10,0,"147,450",6,42,"1,218,347",,
Smart+거래소주식매수,,"14,745",0,"147,456",0,0,0,스마트폰,
2024.4.11,KBSTAR 미국30년국채엔화노출(합성 H),12,0,"106,270",4,20,"1,112,073",,
Smart+거래소주식매수,,"8,855",0,"106,274",0,0,0,스마트폰,
2024.4.12,TIGER 미국달러단기채권액티브,30,0,"358,650",15,100,"753,408",,
Smart+거래소주식매수,,"11,955",0,"358,665",0,0,0,스마트폰,
2024.4.12,ACE KRX금현물,35,0,"520,600",21,77,"232,787",,
Smart+거래소주식매수,,"14,874",0,"520,621",0,0,0,스마트폰,
2024.4.12,KODEX KOFR금리액티브(합성),1,0,"106,400",4,35,"126,383",,
Smart+거래소주식매수,,"106,400",0,"106,404",0,0,0,스마트폰,
2024.4.12,TIGER 미국달러SOFR금리액티브(합성),10,0,"530,740",22,39,"-404,379",,
Smart+거래소주식매수,,"53,074",0,"126,383",0,0,0,스마트폰,
2024.4.12,ACE 미국달러SOFR금리(합성),2,0,"21,520",0,2,"-425,899",,
Smart+거래소주식매수,,"10,760",0,0,0,0,0,스마트폰,
2024.4.12,KODEX 200TR,12,0,"154,800",6,0,"-271,105",,
Smart+거래소주식매도,,"12,900",0,0,0,0,0,스마트폰,
2024.4.12,TIGER Fn반도체TOP10,44,0,"583,660",24,0,"312,531",,
Smart+거래소주식매도,,"13,265",0,"312,531",0,0,0,스마트폰,
2024.4.12,ACE 미국배당다우존스,34,0,"394,740",16,0,"707,255",,
Smart+거래소주식매도,,"11,610",0,"394,724",0,0,0,스마트폰,
